name,url,price,release,page
Meltys Quest,https://steamdb.info/app/723090/,$19.99 ,2017,25
The Jackbox Party Pack 2,https://steamdb.info/app/397460/,$24.99 ,2015,25
Utawarerumono: Mask of Truth,https://steamdb.info/app/1151440/,$15.99 ,2020,25
Dictators:No Peace Countryballs,https://steamdb.info/app/1139890/,$0.99 ,2020,25
Unrailed!,https://steamdb.info/app/1016920/,$4.99 ,2020,25
Momodora: Reverie Under The Moonlight,https://steamdb.info/app/428550/,$9.99 ,2016,25
dotAGE,https://steamdb.info/app/638510/,$17.59 ,2023,25
Gravity Circuit,https://steamdb.info/app/858710/,$16.99 ,2023,25
We Love Katamari REROLL+ Royal Reverie,https://steamdb.info/app/1730700/,$29.99 ,2023,25
Delete,https://steamdb.info/app/773670/,$1.99 ,2018,25
TowerFall Ascension,https://steamdb.info/app/251470/,$14.99 ,2014,25
Outpath,https://steamdb.info/app/2237970/,$14.99 ,2023,25
Card Survival: Tropical Island,https://steamdb.info/app/1694420/,$24.99 ,2022,25
There is No GreenDam,https://steamdb.info/app/1109460/,-,2019,25
Bean Battles,https://steamdb.info/app/765410/,$0.49 ,2018,25
Cut,https://steamdb.info/app/1850480/,-,2022,25
NERTS! Online,https://steamdb.info/app/1131190/,-,2021,36
Ghostrunner,https://steamdb.info/app/1139900/,$29.99 ,2020,36
DEVOUR,https://steamdb.info/app/1274570/,$4.99 ,2021,36
Depersonalization,https://steamdb.info/app/1477070/,$19.99 ,2022,36
Ravenous Devils,https://steamdb.info/app/1615290/,$4.99 ,2022,36
WHAT THE GOLF?,https://steamdb.info/app/785790/,$19.99 ,2020,36
狐の旅路,https://steamdb.info/app/1178050/,-,2020,36
DoDonPachi Resurrection,https://steamdb.info/app/464450/,$29.99 ,2016,36
Steven Universe: Unleash the Light,https://steamdb.info/app/1379560/,$24.99 ,2021,36
Teacup,https://steamdb.info/app/1444300/,$9.99 ,2021,36
Red Planet Farming,https://steamdb.info/app/1288170/,-,2020,36
Iron Lung,https://steamdb.info/app/1846170/,$7.99 ,2022,36
Hue,https://steamdb.info/app/383270/,$2.99 ,2016,36
Lucy Dreaming,https://steamdb.info/app/1532710/,$18.99 ,2022,36
Catlateral Damage: Remeowstered,https://steamdb.info/app/1237730/,$14.99 ,2021,36
TUNIC,https://steamdb.info/app/553420/,$29.99 ,2022,36
POOLS,https://steamdb.info/app/2663530/,$9.79 ,2024,36
Demons Roots,https://steamdb.info/app/1933660/,$19.99 ,2023,36
Deep Space Waifu: FANTASY,https://steamdb.info/app/859680/,$4.99 ,2018,36
DRAINUS,https://steamdb.info/app/1975360/,$14.99 ,2022,36
Banyu Lintar Angin - Little Storm -,https://steamdb.info/app/744800/,-,2018,36
KILLBUG,https://steamdb.info/app/2211730/,$6.99 ,2023,36
Summon,https://steamdb.info/app/2555320/,$0.69 ,2023,36
Mega Serval,https://steamdb.info/app/2009720/,-,2022,36
Tormentum - Dark Sorrow,https://steamdb.info/app/335000/,$6.23 ,2015,36
EXAPUNKS,https://steamdb.info/app/716490/,$19.99 ,2018,36
Penumbra: Black Plague Gold Edition,https://steamdb.info/app/22120/,$9.99 ,2009,36
Beat Banger,https://steamdb.info/app/1813430/,$9.99 ,2023,36
Full Service,https://steamdb.info/app/1223810/,$39.99 ,2020,36
Sam & Max: Beyond Time and Space,https://steamdb.info/app/1747050/,$19.99 ,2021,36
Jamestown,https://steamdb.info/app/94200/,$9.99 ,2011,36
Lake Haven - Chrysalis,https://steamdb.info/app/1696960/,$2.99 ,2023,36
Mr.Mine,https://steamdb.info/app/1397920/,-,2020,36
Burger Shop,https://steamdb.info/app/730840/,$6.99 ,2017,36
Two Point Hospital,https://steamdb.info/app/535930/,$29.99 ,2018,36
Shadow Tactics: Aiko's Choice,https://steamdb.info/app/1579380/,$19.99 ,2021,36
Nightmare Reaper,https://steamdb.info/app/1051690/,$24.99 ,2022,36
Stay Out of the House,https://steamdb.info/app/896520/,$8.99 ,2022,36
American Arcadia,https://steamdb.info/app/1249040/,$19.99 ,2023,36
Evil Genius,https://steamdb.info/app/3720/,$9.99 ,2009,36
Nuclear Blaze,https://steamdb.info/app/1662480/,$9.99 ,2021,36
Pleh!,https://steamdb.info/app/2191550/,-,2023,36
N++ (NPLUSPLUS),https://steamdb.info/app/230270/,$14.99 ,2016,36
BallisticNG,https://steamdb.info/app/473770/,$14.99 ,2018,36
Mosaique Neko Waifus 3,https://steamdb.info/app/1385730/,$2.99 ,2020,36
Hentai Girl Hime,https://steamdb.info/app/963690/,$0.99 ,2018,36
Trapped with Jester,https://steamdb.info/app/2160000/,-,2022,36
Merry XMerge,https://steamdb.info/app/2717080/,$0.99 ,2023,36
High Entropy: Challenges,https://steamdb.info/app/1389630/,-,2020,36
Mimic Logic,https://steamdb.info/app/2455920/,$3.99 ,2024,36
One Finger Death Punch 2,https://steamdb.info/app/980300/,$7.99 ,2019,13
Cinderella Phenomenon - Otome/Visual Novel,https://steamdb.info/app/568770/,-,2017,13
DOTOKOI / 像素男友,https://steamdb.info/app/1198320/,-,2019,13
The Arrogant Kaiju Princess and The Detective Servant,https://steamdb.info/app/2291680/,$14.99 ,2023,13
100 Capitalist Cats,https://steamdb.info/app/2743080/,-,2024,13
Amnesia: The Dark Descent,https://steamdb.info/app/57300/,$19.99 ,2010,13
Coffee Talk Episode 2: Hibiscus & Butterfly,https://steamdb.info/app/1663220/,$14.99 ,2023,13
Loddlenaut,https://steamdb.info/app/1644940/,$19.99 ,2023,13
Bejeweled® 3,https://steamdb.info/app/78000/,$4.99 ,2010,13
Rise of the Tomb Raider™,https://steamdb.info/app/391220/,$29.99 ,2016,13
Alien Swarm: Reactive Drop,https://steamdb.info/app/563560/,-,2017,13
"Knowledge, or know Lady",https://steamdb.info/app/2786680/,$6.99 ,2024,13
Super Meat Boy,https://steamdb.info/app/40800/,$14.99 ,2010,13
Acting Lessons,https://steamdb.info/app/1045520/,$9.99 ,2019,13
LYNE,https://steamdb.info/app/266010/,$2.99 ,2014,13
Songs for a Hero - Definitive Edition,https://steamdb.info/app/389170/,$14.99 ,2016,13
SUPER CHICKEN JUMPER,https://steamdb.info/app/584640/,$2.99 ,2021,13
Epic Battle Fantasy 4,https://steamdb.info/app/265610/,$14.99 ,2014,13
Orbt XL,https://steamdb.info/app/615610/,$0.99 ,2017,13
Insomnia: Theater in the Head,https://steamdb.info/app/2085360/,$2.49 ,2022,13
XCOM: Enemy Unknown,https://steamdb.info/app/200510/,$29.99 ,2012,13
Maitetsu:Pure Station,https://steamdb.info/app/880950/,$8.74 ,2018,13
Defense Grid: The Awakening,https://steamdb.info/app/18500/,$9.99 ,2008,13
Touhou Kanjuden ~ Legacy of Lunatic Kingdom.,https://steamdb.info/app/937580/,$14.99 ,2019,13
House Flipper,https://steamdb.info/app/613100/,$7.49 ,2018,13
Pikuniku,https://steamdb.info/app/572890/,$12.99 ,2019,13
Tabletop Simulator,https://steamdb.info/app/286160/,$19.99 ,2015,13
Samorost 1,https://steamdb.info/app/1580970/,-,2021,13
Dogs Organized Neatly,https://steamdb.info/app/1597730/,$1.49 ,2021,13
Brothers - A Tale of Two Sons,https://steamdb.info/app/225080/,$14.99 ,2013,13
Dagon: by H. P. Lovecraft,https://steamdb.info/app/1481400/,-,2021,13
Primordia,https://steamdb.info/app/227000/,$9.99 ,2012,13
Timberborn,https://steamdb.info/app/1062090/,$24.99 ,2021,13
Antichamber,https://steamdb.info/app/219890/,$19.99 ,2013,13
COMPOUND,https://steamdb.info/app/615120/,$19.99 ,2022,13
买个可乐饼吧！ - Buy a Croquette!,https://steamdb.info/app/2167960/,-,2024,13
Alien Swarm,https://steamdb.info/app/630/,-,2010,13
Railroader,https://steamdb.info/app/1683150/,$29.99 ,2023,13
Mitoza,https://steamdb.info/app/1516240/,-,2021,13
Hades II,https://steamdb.info/app/1145350/,$29.99 ,2024,13
Neon Beats,https://steamdb.info/app/1064610/,-,2019,13
BioShock Infinite,https://steamdb.info/app/8870/,$11.99 ,2013,13
Farmer Against Potatoes Idle,https://steamdb.info/app/1535560/,-,2022,13
Stronghold HD (2012),https://steamdb.info/app/40950/,$5.99 ,2001,13
Snufkin: Melody of Moominvalley,https://steamdb.info/app/1808680/,$19.99 ,2024,13
Civilization IV: Beyond the Sword,https://steamdb.info/app/8800/,$9.99 ,2007,13
Geometry Dash,https://steamdb.info/app/322170/,$4.99 ,2014,13
Wildermyth,https://steamdb.info/app/763890/,$24.99 ,2021,13
Montaro,https://steamdb.info/app/495890/,$0.99 ,2016,13
Supraland,https://steamdb.info/app/813630/,$19.99 ,2019,13
Super Animal Royale,https://steamdb.info/app/843380/,-,2021,17
Door Kickers: Action Squad,https://steamdb.info/app/686200/,$13.99 ,2018,17
Turnip Boy Commits Tax Evasion,https://steamdb.info/app/1205450/,$14.99 ,2021,17
PARANORMASIGHT: The Seven Mysteries of Honjo,https://steamdb.info/app/2106840/,$11.99 ,2023,17
Floating Point,https://steamdb.info/app/302380/,-,2014,17
Kingdom Rush Vengeance - Tower Defense,https://steamdb.info/app/1367550/,$19.99 ,2020,17
Shogun Showdown,https://steamdb.info/app/2084000/,$14.99 ,2023,17
Ages of Conflict: World War Simulator,https://steamdb.info/app/2186320/,$6.99 ,2023,17
Spyro™ Reignited Trilogy,https://steamdb.info/app/996580/,$39.99 ,2019,17
Turing Complete,https://steamdb.info/app/1444480/,$19.99 ,2021,17
OnlyCans: Thirst Date,https://steamdb.info/app/417360/,-,2021,17
Disco Elysium - The Final Cut,https://steamdb.info/app/632470/,$39.99 ,2019,17
Severed Steel,https://steamdb.info/app/1227690/,$4.99 ,2021,17
Moonring,https://steamdb.info/app/2373630/,-,2023,17
Rain World,https://steamdb.info/app/312520/,$11.24 ,2017,17
Dead Space™ 2,https://steamdb.info/app/47780/,$19.99 ,2011,17
DISTRAINT 2,https://steamdb.info/app/743390/,$1.52 ,2018,17
"If On A Winter's Night, Four Travelers",https://steamdb.info/app/1603980/,-,2021,17
Sizeable,https://steamdb.info/app/1333910/,$9.99 ,2021,17
Bloons TD 5,https://steamdb.info/app/306020/,$9.99 ,2014,17
last seen online,https://steamdb.info/app/2824230/,-,2024,17
BROK the InvestiGator,https://steamdb.info/app/949480/,$9.99 ,2022,17
The House in Fata Morgana: A Requiem for Innocence,https://steamdb.info/app/804700/,$14.99 ,2018,17
Letters From a Rainy Day -Oceans and Lace-,https://steamdb.info/app/1637370/,$16.99 ,2021,17
In Sound Mind,https://steamdb.info/app/1119980/,$34.99 ,2021,17
Reventure,https://steamdb.info/app/900270/,$7.99 ,2019,17
UNDERDOGS,https://steamdb.info/app/2441700/,$29.99 ,2024,17
Flowers -Le volume sur automne-,https://steamdb.info/app/1238730/,$19.99 ,2020,17
Unsorted Horror,https://steamdb.info/app/2433730/,-,2023,17
COCOON,https://steamdb.info/app/1497440/,$24.99 ,2023,17
Rusty Lake Paradise,https://steamdb.info/app/744190/,$3.99 ,2018,17
Long Live The Queen,https://steamdb.info/app/251990/,$9.99 ,2013,17
A Plague Tale: Innocence,https://steamdb.info/app/752590/,$39.99 ,2019,17
EARTH DEFENSE FORCE 5,https://steamdb.info/app/1007040/,$59.99 ,2019,17
Pentiment,https://steamdb.info/app/1205520/,$19.99 ,2022,17
The Riftbreaker: Prologue,https://steamdb.info/app/1293860/,-,2020,17
9-nine-:Episode 4,https://steamdb.info/app/1424660/,$19.99 ,2021,17
Moonleap,https://steamdb.info/app/2166050/,$8.99 ,2023,17
Descenders,https://steamdb.info/app/681280/,$24.99 ,2019,17
Spark the Electric Jester 3,https://steamdb.info/app/1629530/,$24.99 ,2022,17
Majotori,https://steamdb.info/app/588730/,$5.99 ,2017,17
Cats Hidden in Maple Hollow 🍂,https://steamdb.info/app/2551170/,$0.99 ,2023,17
Hyperdimension Neptunia Re;Birth1,https://steamdb.info/app/282900/,$14.99 ,2015,17
Tetris® Effect: Connected,https://steamdb.info/app/1003590/,$23.99 ,2021,17
泡沫冬景,https://steamdb.info/app/1049100/,$14.99 ,2020,17
The Life and Suffering of Sir Brante — Chapter 1&2,https://steamdb.info/app/1460090/,-,2020,17
Fallout: A Post Nuclear Role Playing Game,https://steamdb.info/app/38400/,$9.99 ,2009,17
Shakes and Fidget,https://steamdb.info/app/438040/,-,2016,17
小白兔电商~Bunny e-Shop,https://steamdb.info/app/1111460/,$10.99 ,2021,17
GemCraft - Chasing Shadows,https://steamdb.info/app/296490/,$9.99 ,2015,17
BLUE REVOLVER,https://steamdb.info/app/439490/,$14.99 ,2016,28
Kaori After Story,https://steamdb.info/app/979600/,$9.99 ,2018,28
Cats in Time,https://steamdb.info/app/1599880/,$4.99 ,2021,28
KovaaK's,https://steamdb.info/app/824270/,$9.99 ,2018,28
GoreBox,https://steamdb.info/app/2027330/,$7.99 ,2023,28
Making*Lovers,https://steamdb.info/app/1200720/,$29.99 ,2020,28
DEVIL BLADE REBOOT,https://steamdb.info/app/2882440/,$15.99 ,2024,28
Kiwi Clicker - Juiced Up,https://steamdb.info/app/1980530/,$4.99 ,2022,28
Lilith Wants to Buy Your Soul,https://steamdb.info/app/2266820/,-,2023,28
I'm on Observation Duty,https://steamdb.info/app/1046820/,$2.99 ,2019,28
Armoured Commander II,https://steamdb.info/app/1292020/,$11.99 ,2021,28
Voxelgram,https://steamdb.info/app/1158470/,$9.99 ,2019,28
SPORE™,https://steamdb.info/app/17390/,$19.99 ,2008,28
DEATH STRANDING DIRECTOR'S CUT,https://steamdb.info/app/1850570/,-,2022,28
Treasure of Nadia,https://steamdb.info/app/1737100/,$14.99 ,2022,28
The Great Rebellion,https://steamdb.info/app/2732820/,$19.99 ,2024,28
Mushroom Cats 2,https://steamdb.info/app/1258310/,$0.99 ,2020,28
ASTRONEER,https://steamdb.info/app/361420/,$29.99 ,2019,28
Lies of P,https://steamdb.info/app/1627720/,$59.99 ,2023,28
The Stanley Parable,https://steamdb.info/app/221910/,$14.99 ,2013,28
Ultra Fight Da ! Kyanta 2,https://steamdb.info/app/1026840/,-,2019,28
inbento,https://steamdb.info/app/1567440/,$4.99 ,2021,28
STORY OF SEASONS: Friends of Mineral Town,https://steamdb.info/app/978780/,$39.99 ,2020,28
Charlie Murder,https://steamdb.info/app/405290/,$9.99 ,2017,28
Kao the Kangaroo: Round 2 (2003 re-release),https://steamdb.info/app/1048540/,$0.99 ,2019,28
Bendy and the Dark Revival,https://steamdb.info/app/1063660/,$29.99 ,2022,28
Children of Silentown: Prologue,https://steamdb.info/app/1451740/,-,2020,28
KUNKUN Defender,https://steamdb.info/app/2902540/,$2.99 ,2024,28
The Lost Dachshund,https://steamdb.info/app/1975120/,-,2022,28
Unturned,https://steamdb.info/app/304930/,-,2017,28
Crab Game,https://steamdb.info/app/1782210/,-,2021,28
Battle for Wesnoth,https://steamdb.info/app/599390/,-,2018,28
One-armed cook,https://steamdb.info/app/1977530/,-,2022,28
ERROR143,https://steamdb.info/app/2066550/,-,2022,28
DOOM 64,https://steamdb.info/app/1148590/,$4.99 ,2020,28
Super Amazing Wagon Adventure,https://steamdb.info/app/250500/,$2.99 ,2013,28
Shadow Burglar,https://steamdb.info/app/1881340/,-,2022,28
Rock Life: The Rock Simulator,https://steamdb.info/app/2056560/,-,2022,28
The Cosmic Wheel Sisterhood,https://steamdb.info/app/1340480/,$17.99 ,2023,28
Ding Dong XL,https://steamdb.info/app/862570/,$0.99 ,2018,28
"Guns, Gore and Cannoli 2",https://steamdb.info/app/525510/,$12.78 ,2018,28
Marie's Room,https://steamdb.info/app/648390/,-,2018,28
Fantasy Girl,https://steamdb.info/app/1064730/,$1.19 ,2019,28
Hitman: Absolution™,https://steamdb.info/app/203140/,$19.99 ,2012,28
Trepang2,https://steamdb.info/app/1164940/,$29.99 ,2023,28
Samorost 3,https://steamdb.info/app/421120/,$19.99 ,2016,28
Cloud Gardens,https://steamdb.info/app/1372320/,$17.99 ,2021,28
Ragnarock,https://steamdb.info/app/1345820/,$24.99 ,2021,28
A Guidebook of Babel,https://steamdb.info/app/1467920/,$14.99 ,2023,28
Supermarket Simulator: Prologue,https://steamdb.info/app/2772560/,-,2024,28
Mad Games Tycoon 2,https://steamdb.info/app/1342330/,$24.99 ,2023,29
Her New Memory - Hentai Simulator,https://steamdb.info/app/1296770/,$4.49 ,2022,29
Dungeons of Dredmor,https://steamdb.info/app/98800/,$7.99 ,2011,29
