name,price,release
Juice Galaxy,-,2023
Duck Game,$12.99,2015
Underground Blossom,$4.99,2023
Super Hexagon,$2.99,2012
I Wani Hug that Gator!,$14.99,2024
Fran Bow,$14.99,2015
SuchArt: Creative Space,-,2021
Left 4 Dead,$9.99,2008
Wobbly Life,$17.99,2020
The Looker,-,2022
Aventura Copilului Albastru și Urât,$1.99,2021
Mirror,$1.99,2018
Return of the Obra Dinn,$11.99,2018
Milk outside a bag of milk outside a bag of milk,$8.99,2021
Doki Doki Literature Club Plus!,$14.99,2021
Kingdom Rush - Tower Defense,$9.99,2014
Far Away,$12.99,2021
Paper Lily - Chapter 1,-,2024
Maitetsu:Last Run!!,$34.99,2020
MADNESS: Project Nexus,$24.99,2021
Zup! S,$1.99,2018
第七号列车 - Train No. 7,-,2021
DOOM (1993),$4.99,2007
Summer Pockets,$44.99,2020
Lost in Play,$19.99,2022
The Supper,-,2020
Arrow a Row,-,2023
The Test: Final Revelation,$1.99,2020
METAL GEAR RISING: REVENGEANCE,$29.99,2014
Slay the Princess,$17.99,2023
Mark of the Ninja,-,-
Monument Valley: Panoramic Edition,$3.99,2022
Dorfromantik,$13.99,2022
Tiny Bunny,$12.99,2021
NEKOPARA Vol. 2,$9.99,2016
Cube Escape: Paradox,-,2018
Cruelty Squad,$19.99,2021
Half-Life 2: VR Mod,-,2022
WolfQuest: Anniversary Edition,$19.99,2019
NEKOPARA Vol. 4,$9.99,2020
Marvel’s Spider-Man Remastered,$59.99,2022
Batman: Arkham City - Game of the Year Edition,$3.99,2012
SIGNALIS,$19.99,2022
LEGO® Star Wars™ - The Complete Saga,$19.99,2009
Devil May Cry 5,$29.99,2019
The Last Campfire,$14.99,2021
Post Void,$2.99,2020
Sekiro™: Shadows Die Twice - GOTY Edition,$59.99,2019
Age of Empires II (Retired),$19.99,2013
Stacklands,$7.99,2022
NEKOPARA Vol. 3,$9.99,2017
VillageRhapsody,$2.99,2023
Hylics,$2.99,2015
The Test: Hypothesis Rising,$1.99,2020
The Walking Dead: Season Two,$14.99,2013
planetarian HD,$9.99,2017
Samsara Room,-,2020
Bloody Hell,-,2023
Unheard - Voices of Crime,$6.99,2019
BAD END THEATER,$9.99,2021
Dying Light,$19.99,2015
The WereCleaner,-,2024
Enter the Gungeon,$14.99,2016
Thronefall,$9.99,2023
